,code,FloatPopu,month
157,31170,831304.54,2021-11-01
158,31180,5817543.92,2021-11-01
159,31191,871937.77,2021-11-01
160,31192,1654002.67,2021-11-01
161,31193,1764634.92,2021-11-01
162,31200,2096079.47,2021-11-01
163,31210,571255.24,2021-11-01
164,31220,349822.78,2021-11-01
165,31230,3184970.45,2021-11-01
166,31240,1827716.1,2021-11-01
167,31250,1998584.21,2021-11-01
168,31260,1400899.81,2021-11-01
169,31270,827108.12,2021-11-01
170,31280,336204.37,2021-11-01
171,31350,123843.38,2021-11-01
172,31370,541243.73,2021-11-01
173,31380,901904.53,2021-11-01
174,32000,1920316.86,2021-11-01
175,33000,1081620.45,2021-11-01
176,34000,1644110.77,2021-11-01
177,35000,571014.98,2021-11-01
178,36000,335070.36,2021-11-01
179,37000,583577.7,2021-11-01
180,38000,285191.41,2021-11-01
181,39000,410490.62,2021-11-01
182,11010,24708192.57,2020-01-01
183,11020,26154203.91,2020-01-01
184,11030,18514384.96,2020-01-01
185,11040,19056886.31,2020-01-01
186,11050,20426393.84,2020-01-01
187,11060,19464120.36,2020-01-01
188,11070,17010562.67,2020-01-01
189,11080,21275896.46,2020-01-01
190,11090,14901438.95,2020-01-01
191,11100,13080608.3,2020-01-01
192,11110,25220701.31,2020-01-01
193,11120,20765427.41,2020-01-01
194,11130,20876312.07,2020-01-01
195,11140,29656258.02,2020-01-01
196,11150,18797429.55,2020-01-01
197,11160,27752640.1,2020-01-01
198,11170,20775306.61,2020-01-01
199,11180,12110597.49,2020-01-01
200,11190,30071348.78,2020-01-01
201,11200,19510351.11,2020-01-01
202,11210,23196281.59,2020-01-01
203,11220,39540079.03,2020-01-01
204,11230,58793030.8,2020-01-01
205,11240,44295997.43,2020-01-01
206,11250,26255454.21,2020-01-01
207,21000,530889.96,2020-01-01
208,22000,419449.06,2020-01-01
209,23010,1555634.74,2020-01-01
210,23020,122538.23,2020-01-01
211,23030,903819.37,2020-01-01
212,23040,919976.22,2020-01-01
213,23050,1210501.33,2020-01-01
214,23060,1893752.21,2020-01-01
215,23070,1148893.75,2020-01-01
216,23080,1923755.05,2020-01-01
217,23310,277250.11,2020-01-01
218,23320,24143.83,2020-01-01
219,24000,298585.43,2020-01-01
220,25000,711096.15,2020-01-01
221,26000,142952.34,2020-01-01
222,29000,267818.27,2020-01-01
223,31011,789035.7999999999,2020-01-01
224,31012,758855.39,2020-01-01
225,31013,636043.29,2020-01-01
226,31014,1268733.47,2020-01-01
227,31021,2742577.84,2020-01-01
228,31022,1465623.11,2020-01-01
229,31023,5289328.899999999,2020-01-01
230,31030,3832542.46,2020-01-01
231,31041,1504161.03,2020-01-01
232,31042,2188607.27,2020-01-01
233,31050,6317896.22,2020-01-01
234,31060,4280199.63,2020-01-01
235,31070,670732.59,2020-01-01
236,31080,359361.96,2020-01-01
237,31091,798907.92,2020-01-01
238,31092,853397.99,2020-01-01
239,31101,5534338.62,2020-01-01
240,31103,2600647.23,2020-01-01
241,31104,1758896.28,2020-01-01
242,31110,1476402.33,2020-01-01
243,31120,2823776.28,2020-01-01
244,31130,6624135.23,2020-01-01
245,31140,374155.53,2020-01-01
246,31150,1550095.6,2020-01-01
247,31160,1291279.73,2020-01-01
248,31170,869141.89,2020-01-01
249,31180,5637438.99,2020-01-01
250,31191,831398.74,2020-01-01
251,31192,1926906.34,2020-01-01
252,31193,2018712.41,2020-01-01
253,31200,2034663.87,2020-01-01
254,31210,641719.27,2020-01-01
255,31220,350915.19,2020-01-01
256,31230,3115632.02,2020-01-01
257,31240,1877562.58,2020-01-01
258,31250,2052800.14,2020-01-01
259,31260,1334002.07,2020-01-01
260,31270,752804.4299999999,2020-01-01
261,31280,304475.29,2020-01-01
262,31350,107698.8,2020-01-01
263,31370,427103.71,2020-01-01
264,31380,824667.87,2020-01-01
265,32000,2343204.01,2020-01-01
266,33000,1135500.18,2020-01-01
267,34000,1823812.51,2020-01-01
268,35000,650462.81,2020-01-01
269,36000,406378.48,2020-01-01
270,37000,723830.84,2020-01-01
271,38000,425865.74,2020-01-01
272,39000,374085.27,2020-01-01
273,11010,17392058.11,2020-02-01
274,11020,18085466.44,2020-02-01
275,11030,13312221.29,2020-02-01
276,11040,14957968.11,2020-02-01
277,11050,15212623.63,2020-02-01
278,11060,14683537.43,2020-02-01
279,11070,13329031.29,2020-02-01
280,11080,16163436.86,2020-02-01
281,11090,11648710.66,2020-02-01
282,11100,10284969.26,2020-02-01
283,11110,19606960.67,2020-02-01
284,11120,16029035.0,2020-02-01
285,11130,15544169.26,2020-02-01
286,11140,22373731.49,2020-02-01
287,11150,14789591.39,2020-02-01
288,11160,21563770.72,2020-02-01
289,11170,15161683.86,2020-02-01
290,11180,9285602.21,2020-02-01
291,11190,22264966.03,2020-02-01
292,11200,14768510.93,2020-02-01
293,11210,17704139.16,2020-02-01
294,11220,30317970.29,2020-02-01
295,11230,47043336.54,2020-02-01
296,11240,32896742.36,2020-02-01
297,11250,20702979.13,2020-02-01
298,21000,272918.5,2020-02-01
299,22000,197393.69,2020-02-01
300,23010,890570.47,2020-02-01
301,23020,91184.97,2020-02-01
302,23030,659398.27,2020-02-01
303,23040,662048.08,2020-02-01
304,23050,909393.88,2020-02-01
305,23060,1387445.14,2020-02-01
306,23070,895393.77,2020-02-01
307,23080,1480618.69,2020-02-01
308,23310,184940.28,2020-02-01
309,23320,17332.57,2020-02-01
310,24000,154981.12,2020-02-01
311,25000,433112.76,2020-02-01
312,26000,73175.84,2020-02-01
313,29000,180802.11,2020-02-01
314,31011,579369.99,2020-02-01
315,31012,556074.02,2020-02-01
316,31013,437161.57,2020-02-01
317,31014,951624.78,2020-02-01
318,31021,2181409.65,2020-02-01
319,31022,1111244.49,2020-02-01
320,31023,4033437.26,2020-02-01
321,31030,3052905.11,2020-02-01
322,31041,1140380.69,2020-02-01
323,31042,1707714.03,2020-02-01
324,31050,4756341.09,2020-02-01
325,31060,3288267.79,2020-02-01
326,31070,465859.49,2020-02-01
327,31080,256101.21,2020-02-01
328,31091,574738.32,2020-02-01
329,31092,599692.63,2020-02-01
330,31101,4287609.64,2020-02-01
331,31103,1988074.61,2020-02-01
332,31104,1273717.12,2020-02-01
333,31110,1094996.14,2020-02-01
334,31120,2276070.32,2020-02-01
335,31130,5242375.16,2020-02-01
336,31140,261691.91,2020-02-01
337,31150,1169998.1,2020-02-01
338,31160,956875.98,2020-02-01
339,31170,682416.22,2020-02-01
340,31180,4460199.41,2020-02-01
341,31191,581565.67,2020-02-01
342,31192,1421510.07,2020-02-01
343,31193,1495240.51,2020-02-01
344,31200,1480070.72,2020-02-01
345,31210,431965.6,2020-02-01
346,31220,230411.11,2020-02-01
347,31230,2353688.08,2020-02-01
348,31240,1387410.98,2020-02-01
349,31250,1585657.71,2020-02-01
350,31260,1007912.12,2020-02-01
351,31270,549318.1,2020-02-01
352,31280,222241.24,2020-02-01
353,31350,72203.25,2020-02-01
354,31370,312778.10000000003,2020-02-01
355,31380,608295.24,2020-02-01
356,32000,1441012.05,2020-02-01
357,33000,678039.75,2020-02-01
358,34000,1057828.34,2020-02-01
359,35000,340157.81,2020-02-01
360,36000,195352.63,2020-02-01
361,37000,348402.46,2020-02-01
362,38000,216913.8,2020-02-01
363,39000,190964.55,2020-02-01
364,11010,15922836.12,2020-03-01
365,11020,17590077.18,2020-03-01
366,11030,13202841.05,2020-03-01
367,11040,15064724.7,2020-03-01
368,11050,15315619.74,2020-03-01
369,11060,13950285.22,2020-03-01
370,11070,13065052.9,2020-03-01
371,11080,15801480.22,2020-03-01
372,11090,11261818.04,2020-03-01
373,11100,10165845.13,2020-03-01
374,11110,18029723.97,2020-03-01
375,11120,15197542.14,2020-03-01
376,11130,14850040.35,2020-03-01
377,11140,21541098.36,2020-03-01
378,11150,13729539.35,2020-03-01
379,11160,20701925.27,2020-03-01
380,11170,14755514.74,2020-03-01
381,11180,9691096.84,2020-03-01
382,11190,21983117.96,2020-03-01
383,11200,14031851.09,2020-03-01
384,11210,17140145.53,2020-03-01
385,11220,27704589.3,2020-03-01
386,11230,42435758.68,2020-03-01
387,11240,31659710.59,2020-03-01
388,11250,19922708.89,2020-03-01
389,21000,160759.31,2020-03-01
390,22000,76690.2,2020-03-01
391,23010,842156.11,2020-03-01
392,23020,89638.92,2020-03-01
393,23030,645627.93,2020-03-01
394,23040,653760.53,2020-03-01
395,23050,899661.84,2020-03-01
396,23060,1360873.16,2020-03-01
397,23070,884180.6799999999,2020-03-01
398,23080,1461509.88,2020-03-01
399,23310,234281.85,2020-03-01
400,23320,32890.87,2020-03-01
401,24000,117266.24,2020-03-01
402,25000,337282.83,2020-03-01
403,26000,46327.38,2020-03-01
404,29000,150490.53,2020-03-01
405,31011,545309.42,2020-03-01
406,31012,550336.1,2020-03-01
407,31013,423096.3,2020-03-01
408,31014,896319.56,2020-03-01
409,31021,2124439.17,2020-03-01
410,31022,1078116.69,2020-03-01
411,31023,3535808.16,2020-03-01
412,31030,2988778.8,2020-03-01
413,31041,1133123.2,2020-03-01
414,31042,1597886.47,2020-03-01
415,31050,4793870.36,2020-03-01
416,31060,3232417.21,2020-03-01
417,31070,464445.47,2020-03-01
418,31080,252295.49,2020-03-01
419,31091,564728.52,2020-03-01
420,31092,646831.53,2020-03-01
421,31101,4484411.5600000005,2020-03-01
422,31103,1946809.56,2020-03-01
423,31104,1227468.21,2020-03-01
424,31110,990595.14,2020-03-01
425,31120,2346856.78,2020-03-01
426,31130,5395463.38,2020-03-01
427,31140,257651.35,2020-03-01
428,31150,1258715.74,2020-03-01
429,31160,929553.77,2020-03-01
430,31170,689003.28,2020-03-01
431,31180,4510210.32,2020-03-01
432,31191,623860.82,2020-03-01
433,31192,1343070.03,2020-03-01
434,31193,1372831.43,2020-03-01
435,31200,1616558.39,2020-03-01
436,31210,457477.92,2020-03-01
437,31220,241249.49,2020-03-01
438,31230,2478432.67,2020-03-01
439,31240,1415748.11,2020-03-01
440,31250,1691918.76,2020-03-01
441,31260,1078976.22,2020-03-01
442,31270,653371.2,2020-03-01
443,31280,282974.97,2020-03-01
444,31350,92317.45,2020-03-01
445,31370,401137.61,2020-03-01
446,31380,763837.12,2020-03-01
447,32000,1300877.73,2020-03-01
448,33000,638937.19,2020-03-01
449,34000,1002532.09,2020-03-01
450,35000,286052.2,2020-03-01
451,36000,162563.09,2020-03-01
452,37000,209538.49,2020-03-01
453,38000,157911.98,2020-03-01
454,39000,159441.66,2020-03-01
455,11010,15511658.37,2020-04-01
456,11020,16764714.94,2020-04-01
457,11030,12057275.2,2020-04-01
458,11040,13650081.17,2020-04-01
459,11050,14412727.54,2020-04-01
460,11060,13051462.53,2020-04-01
461,11070,11912740.14,2020-04-01
462,11080,14579758.05,2020-04-01
463,11090,10352600.3,2020-04-01
464,11100,9259683.66,2020-04-01
465,11110,16775133.05,2020-04-01
466,11120,14329644.95,2020-04-01
467,11130,13823765.11,2020-04-01
468,11140,19929116.24,2020-04-01
469,11150,12884573.19,2020-04-01
470,11160,19147950.45,2020-04-01
471,11170,13889947.63,2020-04-01
472,11180,8909416.56,2020-04-01
473,11190,20700976.97,2020-04-01
474,11200,13024518.81,2020-04-01
