O_ID,D_ID
1111010100,1111010100
1111010100,1111010400
1111010100,1111010800
1111010100,1111011200
1111010100,1111011900
1111010100,1111012300
1111010100,1111012500
1111010100,1111012600
1111010100,1111012900
1111010100,1111013400
1111010100,1111013800
1111010100,1111015600
1111010100,1111016100
1111010100,1111016300
1111010100,1111016600
1111010100,1114011400
1111010100,1114012000
1111010100,1114016700
1111010100,1120011400
1111010100,1123010300
1111010100,1141011100
1111010100,1141011600
1111010100,1144012000
1111010100,1150010500
1111010100,1153010200
1111010100,1156011000
1111010100,1165010200
1111010100,1165010700
1111010100,1165010800
1111010100,1168010100
1111010100,1168010700
1111010300,1111018200
1111010300,1111018400
1111010300,1129013300
1111010300,1138010300
1111010400,1111010400
1111010400,1111010800
1111010400,1111011200
1111010400,1111011900
1111010400,1111012500
1111010400,1111012600
1111010400,1111012900
1111010400,1111013400
1111010400,1111013800
1111010400,1111015100
1111010400,1111015600
1111010400,1111016100
1111010400,1111016300
1111010400,1111016600
1111010400,1111016800
1111010400,1111017100
1111010400,1111018300
1111010400,1114011400
1111010400,1114011500
1111010400,1114012000
1111010400,1114013800
1111010400,1114014400
1111010400,1114015500
1111010400,1114016200
1111010400,1114016500
1111010400,1114016700
1111010400,1117010400
1111010400,1117012800
1111010400,1123010100
1111010400,1129013300
1111010400,1138010300
1111010400,1138010600
1111010400,1138011400
1111010400,1141010200
1111010400,1141011100
1111010400,1141011300
1111010400,1141011600
1111010400,1144010200
1111010400,1144012000
1111010400,1144012700
1111010400,1150010300
1111010400,1150010900
1111010400,1153010200
1111010400,1154510100
1111010400,1156010100
1111010400,1156011000
1111010400,1156011300
1111010400,1159010700
1111010400,1165010700
1111010400,1165010800
1111010400,1168010100
1111010400,1168010500
1111010400,1168010700
1111010400,1168010800
1111010400,1168011800
1111010400,1171010200
1111010500,1111018200
1111010500,1111018300
1111010500,1111018400
1111010500,1111018500
1111010500,1129013300
1111010500,1138010700
1111010500,1138010800
1111010500,1141011100
1111010500,1141011800
1111010600,1111010100
1111010600,1111010300
1111010600,1111010400
1111010600,1111010500
1111010600,1111010600
1111010600,1111011000
1111010600,1111011100
1111010600,1111018200
1111010600,1111018300
1111010600,1111018400
1111010600,1111018500
1111010600,1111018600
1111010600,1114011400
1111010600,1114016700
1111010600,1129013300
1111010600,1138010300
1111010600,1141011100
1111010700,1111010700
1111010700,1111013400
1111010700,1111013500
1111010700,1111015100
1111010700,1111015300
1111010700,1111015600
1111010700,1111016300
1111010700,1111016400
1111010700,1111016800
1111010700,1111017400
1111010700,1111017500
1111010700,1111018700
1111010700,1114010400
1111010700,1114011200
1111010700,1114012000
1111010700,1114012500
1111010700,1114013800
1111010700,1114014400
1111010700,1114014900
1111010700,1114015500
1111010700,1114016200
1111010700,1114016300
1111010700,1114016500
1111010700,1117012400
1111010700,1117012500
1111010700,1117012800
1111010700,1117013000
1111010700,1117013100
1111010700,1120010200
1111010700,1120010700
1111010700,1120011100
1111010700,1120011300
1111010700,1120011400
1111010700,1120011500
1111010700,1121510100
1111010700,1121510300
1111010700,1121510500
1111010700,1121510700
1111010700,1123010100
1111010700,1123010300
1111010700,1123010400
1111010700,1123010600
1111010700,1123010900
1111010700,1123011000
1111010700,1129011100
1111010700,1129011900
1111010700,1129012500
1111010700,1129013400
1111010700,1129013500
1111010700,1129013900
1111010700,1130510100
1111010700,1130510200
1111010700,1132010600
1111010700,1132010700
1111010700,1132010800
1111010700,1135010200
1111010700,1135010300
1111010700,1135010500
1111010700,1135010600
1111010700,1138010200
1111010700,1138010300
1111010700,1138010400
1111010700,1138010500
1111010700,1138010600
1111010700,1138010900
1111010700,1138011400
1111010700,1141011100
1111010700,1141011800
1111010700,1144010200
1111010700,1144010800
1111010700,1144012000
1111010700,1144012100
1111010700,1153010200
1111010700,1154510100
1111010700,1156011000
1111010700,1159010100
1111010700,1159010700
1111010700,1162010100
1111010700,1162010200
1111010700,1165010100
1111010700,1165010200
1111010700,1165010600
1111010700,1165010700
1111010700,1165010800
1111010700,1168010100
1111010700,1168010300
1111010700,1168010400
1111010700,1168010500
1111010700,1168010600
1111010700,1168010700
1111010700,1168010800
1111010700,1168011400
1111010700,1168011500
1111010700,1168011800
1111010700,1171010200
1111010700,1171010700
1111010700,1171010800
1111010700,1171010900
1111010700,1174010600
1111010800,1111011200
1111010800,1111011900
1111010800,1111012300
1111010800,1111012500
1111010800,1111012600
1111010800,1111012900
1111010800,1111013800
1111010800,1111015600
1111010800,1111016100
1111010800,1111016300
1111010800,1111017400
1111010800,1114011400
1111010800,1114012000
1111010800,1114013800
1111010800,1114014800
1111010800,1114015500
1111010800,1114016700
1111010800,1117010400
1111010800,1117010700
1111010800,1117012800
1111010800,1123010300
1111010800,1144012000
1111010800,1154510100
1111010800,1156011000
1111010800,1159010100
1111010800,1159010200
1111010800,1159010500
1111010800,1165010800
1111010800,1168010100
1111010800,1168010500
1111010800,1168010600
1111010800,1168010700
1111010800,1171010200
1111010900,1111010600
1111010900,1111010800
1111010900,1111011200
1111010900,1111011900
1111010900,1111013400
1111010900,1111015600
1111010900,1111017400
1111010900,1114010300
1111010900,1114011400
1111010900,1114012000
1111010900,1114013800
1111010900,1114015500
1111010900,1114016700
1111010900,1117012800
1111010900,1120011400
1111010900,1120011500
1111010900,1123010400
1111010900,1141010200
1111010900,1141011600
1111010900,1144010100
1111010900,1144010200
1111010900,1144012000
1111010900,1144012100
1111010900,1144012700
1111010900,1147010200
1111010900,1153010200
1111010900,1154510100
1111010900,1156010100
1111010900,1156011000
1111010900,1156011300
1111010900,1165010100
1111010900,1165010700
1111010900,1165010800
1111010900,1168010100
1111010900,1168010500
1111010900,1168010600
1111010900,1168010700
1111010900,1168010800
1111010900,1171010200
1111011000,1111010600
1111011000,1111011900
1111011000,1114010300
1111011000,1114011400
1111011000,1114013800
1111011000,1114016700
1111011000,1144010200
1111011000,1156011000
1111011000,1165010800
1111011000,1168010700
1111011000,1171010200
1111011100,1111010600
1111011100,1111011100
1111011100,1111011900
1111011100,1111013400
1111011100,1111013800
1111011100,1111017400
1111011100,1114010300
1111011100,1114011400
1111011100,1114012000
1111011100,1114015500
1111011100,1114016200
1111011100,1114016700
1111011100,1117010400
1111011100,1120011400
